variant,run_id,benchmark,task_id,seed,status,success,final_reward,steps,duration_s,input_tokens,output_tokens,action_error_count,error_type,verification_count,verifications_with_signal,failure_signal_count,recovery_count,recovery_success_count,recovery_failed_count,recovery_unresolved_count,recovery_environment_actions,recovery_latency_s,blocked_action_redecision_count,replan_count,replan_success_count,replan_failed_count,replan_unresolved_count,replan_model_calls,replan_input_tokens,replan_output_tokens,replan_latency_s,reliability_extra_model_calls,reliability_extra_tokens,reliability_extra_latency_s,retry_count,retry_cycle_count,retry_success_count,retry_exhausted_count,extra_model_calls,retry_input_tokens,retry_output_tokens,retry_latency_s
A0,run-20260913T055458Z-1d9c4dbb,miniwob,click-test,0,success,True,1.0,1,26.89,1405,28,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055526Z-ab982263,miniwob,click-test,1,success,True,1.0,1,7.844,1405,24,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055534Z-1ec8a55d,miniwob,click-test,2,success,True,1.0,1,8.547,1405,33,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055544Z-eca82c85,miniwob,click-button,0,success,True,1.0,1,9.609,1449,46,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055554Z-876fe6ad,miniwob,click-button,1,success,True,1.0,1,9.484,1461,53,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055604Z-d7590e3b,miniwob,click-button,2,success,True,1.0,1,8.609,1469,44,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055613Z-4b63302e,miniwob,enter-text,0,success,True,1.0,2,12.594,2866,119,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055627Z-5484df37,miniwob,enter-text,1,success,True,1.0,2,12.234,2872,94,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055639Z-27c01545,miniwob,enter-text,2,success,True,1.0,2,14.297,2872,93,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
A0,run-20260913T055654Z-8f52a778,miniwob,choose-list,0,success,True,1.0,1,9.14,1498,41,0,TASK_TERMINATED,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
