run_id,benchmark,task_id,seed,status,success,final_reward,steps,duration_s,input_tokens,output_tokens,action_error_count,error_type,verification_count,verifications_with_signal,failure_signal_count
run-20260912T072428Z-0fa3230b,miniwob,click-test,0,success,True,1.0,1,18.36,1405,51,0,TASK_TERMINATED,1,0,0
run-20260912T072447Z-c54870c3,miniwob,click-button,0,success,True,1.0,1,9.078,1449,44,0,TASK_TERMINATED,1,0,0
run-20260912T072456Z-ace5eeea,miniwob,enter-text,0,success,True,1.0,2,17.875,2866,99,0,TASK_TERMINATED,2,0,0
run-20260912T072515Z-a4713dab,miniwob,choose-list,0,success,True,1.0,1,9.625,1498,41,0,TASK_TERMINATED,1,0,0
run-20260912T072526Z-894a4d78,miniwob,click-checkboxes,0,success,True,1.0,2,13.14,2989,115,0,TASK_TERMINATED,2,0,0
run-20260912T072539Z-8a27df28,miniwob,click-link,0,success,True,1.0,5,166.734,7636,16054,1,TASK_TERMINATED,5,4,4
run-20260912T072827Z-86da8601,miniwob,login-user,0,success,True,1.0,3,16.11,4518,191,0,TASK_TERMINATED,3,0,0
run-20260912T072845Z-00f32123,miniwob,read-table,0,success,True,1.0,2,12.11,3160,155,0,TASK_TERMINATED,2,0,0
run-20260912T072857Z-7abffcb6,miniwob,navigate-tree,0,success,True,1.0,1,10.875,1481,86,0,TASK_TERMINATED,1,0,0
run-20260912T072909Z-8b08f3a2,miniwob,use-autocomplete,0,success,True,1.0,3,17.5,4481,423,0,TASK_TERMINATED,3,0,0
run-20260912T072927Z-3e9f7677,miniwob,choose-date-easy,0,success,True,1.0,4,22.734,7734,321,1,TASK_TERMINATED,4,1,1
run-20260912T072951Z-78c99dd6,miniwob,order-food,0,failed,False,0.0,3,332.016,5625,21251,0,TASK_TERMINATED,3,3,3
